레몬 버베나 바디로션,10
다우니 초고농축 섬유유연제,24
맥심 모카골드 커피믹스,5
아이케어 루테인 지아잔틴,10
견과류 믹스,10
고급 탈모 샴푸 TS,20
생유산균 이뮨 락토핏,10
닥터지 로얄 달팽이 크림,10
퍼실 & 피지 세탁 세제,22
불스원 그라스 & 블랙베리 디퓨저,10
벵네프 고급 향수비누 선물세트,10
신라면 1박스,10
두루마리 휴지 24롤,20
쌀 5kg,10
테팔 후라이팬,10
송윤아 다이아몬드 크림,1 
쿠첸 브레인 6인용 IH 전기밥솥&,1
필립스 전자동 에스프레소 커피 머신&,1
금 1돈 골드바&,1
